smiles,hall,zprime,a,b,c,alpha,beta,gamma,volume
COc1ccccc1C(=O)O[C@]1(Cc2c(C1=O)cccc2)[C@H](c1ccccc1)CN(=O)=O,6,1.0,10.181000000000001,11.226700000000001,10.4811,90.0,115.0,90.0,1085.7382326070403
O=N(=O)C1=NNC(=N1)CC1=NC(=NN1)N(=O)=O,44,1.0,9.59243261456655,10.1055,9.592432614566547,90.0,89.69421374566014,90.0,929.8419495441378
COc1ccc(cc1)C1=C(COc2ccccc12)c1ccc(cc1)N(=O)=O,2,1.0,6.2331,10.6409,14.153999999999996,100.755,94.852,105.369,880.355437349945
COc1ccc(cc1)C1=C(COc2ccccc12)c1ccc(cc1)N(=O)=O,6,2.0,5.930199999999999,21.3945,13.916799999999999,90.0,95.871,90.0,1756.413939774887
CON1C(=O)c2ccc(cc2C[C@]1(C)CO)N(=O)=O,290,1.0,7.8148,24.702,12.7365,90.0,90.0,90.0,2458.6691113404
C=C[C@@H]([C@@H]([C@H](/C=C/C1=C(C)C(=O)OC(O1)(C)C)C)OC(=O)c1cc(cc(c1)N(=O)=O)N(=O)=O)C,1,1.0,7.364810000000001,8.691599999999998,10.4091,95.70600000000002,101.335,111.299,597.9523043294533
CON(C(=O)[C@]12C[C@H](C1)N1N2C(=O)N(C1=O)c1ccc(cc1)N(=O)=O)C,115,1.0,7.2703,10.4476,20.8478,90.0,90.0,90.0,1583.5402281281847
CCCCCC(=O)[C@]12C[C@H](C1)N1N2C(=O)N(C1=O)c1ccc(cc1)N(=O)=O,115,1.0,6.843,7.739000000000001,33.8852,90.0,90.0,90.0,1794.4916422403999
O=C1N(c2ccc(cc2)N(=O)=O)C(=O)N2N1[C@@]1(C[C@H]2C1)C(=O)c1ccccc1,6,1.0,7.394,7.0776,16.192399999999996,90.0,94.219,90.0,845.0807470349328
O=N(=O)c1ccc2nc3ccccc3nc2c1,81,1.0,6.836999999999999,22.4145,7.160500000000001,90.0,114.235,90.0,1000.6234867625509
