ccdc_id,Calc. Density,Cell Volume,CHIRAL SMILES,Space Gp. Number
CUDDAG,1.359,1776.203,CN1c2ccccc2N2[C@H]3[C@@H]1N1c4ccccc4N([C@@H]([C@H]21)[C@@]3(C)N(=O)=O)C,14
ESEYUZ,1.274,3810.896,c1ccc(cc1)C1=C(c2ccccc2)[C@]23[C@](O1)(CC2)[C@@H]1ON3c2c1cccc2,15
LUDWUC,1.127,6465.199,CCCCCCCCOc1cc(OCCCCCCCC)c(cc1NC(=O)c1cc(NC(=O)c2cc(c(OCCCCCCCC)cc2OCCCCCCCC)N(=O)=O)c(OC)cc1OC)C(=O)Nc1cc(C)ccc1OC,14
OJAXII,1.418,1992.595,O=C(c1cc(cc(c1)N(=O)=O)N(=O)=O)O[C@H]1CC[C@@H]([C@H]([C@H]([C@H]1COCc1ccccc1)OCc1ccccc1)OCc1ccccc1)OC(=O)c1cc(cc(c1)N(=O)=O)N(=O)=O,4
SARXOA,1.425,1635.596,CCCCC[C@@H]([C@H]([C@H]1N(C(=O)OCC1(C)C)C(=O)c1ccc(cc1)N(=O)=O)OC(=O)c1ccc(cc1)N(=O)=O)NN1C(=O)c2c(C1=O)cccc2,2
SEJHEU,1.935,769.069,[O-]/[N+]1=N\C2=NON=C2/[N+]([O-])=N/C3=NON=C3/[N+]([O-])=N/C4=NON=C4/[N+]([O-])=N/C5=NON=C15,7
TINNIP,1.282,1965.441,[N-]=[N+]=Nc1ccccc1[C@@H]1N(CC(=O)c2ccccc2)[C@@H]([C@@H](N1[C@@H](c1ccccc1N=[N+]=[N-])C(=O)NC(C)(C)C)C(=O)c1ccccc1)c1ccccc1N=[N+]=[N-],2
TUDWEW,1.325,2743.235,COCC(=O)OC[C@@H]1O[C@@H](Oc2ccc(cc2)OC)[C@@H]([C@H]([C@@H]1O[C@H]1O[C@H](COC(=O)C)[C@H]([C@@H]([C@H]1N=[N+]=[N-])OCc1ccccc1)OC(=O)OCC1c2ccccc2-c2c1cccc2)OCc1ccccc1)OC(=O)c1ccccc1,4
JOZXUT,1.413,12137.009,[N-]=[N+]=N[C@@H]1C[C@](C[C@H]1N=[N+]=[N-])(NC(=O)[C@@]1(C[C@H]([C@@H](C1)N=[N+]=[N-])N=[N+]=[N-])NC(=O)[C@]1(NC(=O)OC(C)(C)C)C[C@H]([C@@H](C1)N=[N+]=[N-])N=[N+]=[N-])C(=O)N[C@@]1(C[C@H]([C@@H](C1)N=[N+]=[N-])N=[N+]=[N-])C(=O)N[C@@]1(C[C@H]([C@@H](C1)N=[N,19
MEJDUD,1.225,9202.983,O=C1N2CN3C(=O)N([C@H]4[C@@H]3N(Cc3ccc(cc3)N(=O)=O)C(=O)N4Cc3ccc(cc3)N(=O)=O)CN3C(=O)N(CN4C(=O)N(CN1[C@H]1[C@@H]2N(Cc2ccc(cc2)N(=O)=O)C(=O)N1Cc1ccc(cc1)N(=O)=O)[C@H]1[C@@H]4N(C(=O)N1Cc1ccc(cc1)N(=O)=O)Cc1ccc(cc1)N(=O)=O)[C@@H]1[C@H]3N(Cc2ccc(cc2)N(=O)=O)C(,14
LAZQOT,1.179,4173.626,O=N(=O)c1ccc(cc1)[C@@H]([C@H](c1cccc2c1nccc2)/N=C/c1cc(cc(c1O)C(C)(C)C)C(C)(C)C)/N=C/c1cc(cc(c1O)C(C)(C)C)C(C)(C)C,14
TUNFAM,1.202,1383.788,O=C1Oc2c3CCCCCCCCCCCCc4cc(cc(CCCCCCCCCCCCc2cc(c3)c2ccccc2)c4OC(=O)c2cc(OCCCN=[N+]=[N-])c1cc2OCCCN=[N+]=[N-])c1ccccc1,2
KALMET,CCOCCOc1c2Cc3cc(cc(Cc4cc(cc(Cc5cc(cc(Cc1cc(c2)c1ccc2ccc6cccc7ccc1c2c67)c5OCCOCC)N(=O)=O)c4OCCOCC)c1ccc2ccc4cccc5ccc1c2c45)c3OCCOCC)N(=O)=O
TASRAK,1.399,3927.575,CCC1=C2N3C(=C1CC)C1=C(CC)C(=C4N1c1c3c3N5C2=C(CC)C(=C5C2=C(CC)C(=C5N2c3c2N3C(=C(CC)C(=C53)N(=O)=O)C3=C(CC)C(=C4N3c12)N(=O)=O)CC)CC)CC,15
ZAKRAI,1.15,1433.909,CCC[C@H]1[C@@H](CCC)N1c2ccc(N(=O)=O)cc2,14
ACAMOG,1.099,4622.353,CC(C)c1cc(cc(C(C)C)c1NC(=O)c1ccc(cc1)C(C)(C)C)N(=O)=O,15
AJAKII,1.622,604.556,O=C1c2cc(ccc2c2c(cc(cc12)N(=O)=O)C#N)N(=O)=O,14
LIZFOS,1.431,970.745,OCc1cc(cc2CNCNc12)N(=O)=O,14
ALENUC,1.312,3400.309,O=C1c2cc(N(=O)=O)c(cc2-c2c1c1-c3cc(c(cc3C(=O)c1c1-c3c(/C(=C\4/c5cc(N(=O)=O)c(cc5-c5c4c4-c6cc(c(cc6C(=O)c4c4-c6c(C(=O)c54)cc(c(c6)C(C)(C)C)N(=O)=O)N(=O)=O)C(C)(C)C)C(C)(C)C)/c21)cc(c(c3)C(C)(C)C)N(=O)=O)N(=O)=O)C(C)(C)C)C(C)(C)C,2
SAMZAL,1.408,3929.312,C[C@@H]1C[N@]2N(C1=O)[C@H]1[C@@]([C@H]2c2ccccn2)(Cc2c(O1)ccc1c2cccc1)N(=O)=O,33
SAVCUR,1.449,1114.724,O=C1C=C[C@H]2[C@@H]1[C@H]1[C@@]2(Oc2c1cccc2)N(=O)=O,19
APEZOL,1.655,1035.948,O=N(=O)Cc1nc(CN(=O)=O)nc(CN(=O)=O)n1,62
OCUFAX,1.41,3847.659,CCOC(=O)C[C@@H]1C(=Cc2c3N1c1ccc(cc1-c3ccc2)N(=O)=O)C(=O)OCC,15
