ccdc_id,Calc. Density,Cell Volume,CHIRAL SMILES,Space Gp. Number
AYUWUP,1.32,1085.738,COc1ccccc1C(=O)O[C@]1(Cc2c(C1=O)cccc2)[C@H](c1ccccc1)CN(=O)=O,4
AZOSOA,1.715,1859.684,O=N(=O)C1=NNC(=N1)CC1=NC(=NN1)N(=O)=O,43
BALWIY,1.356,880.355,COc1ccc(cc1)C1=C(COc2ccccc12)c1ccc(cc1)N(=O)=O,2
BALWIY01,1.359,1756.414,COc1ccc(cc1)C1=C(COc2ccccc12)c1ccc(cc1)N(=O)=O,4
CANCAZ,1.439,2458.669,CON1C(=O)c2ccc(cc2C[C@]1(C)CO)N(=O)=O,61
FAPHOX,1.318,597.952,C=C[C@@H]([C@@H]([C@H](/C=C/C1=C(C)C(=O)OC(O1)(C)C)C)OC(=O)c1cc(cc(c1)N(=O)=O)N(=O)=O)C,1
FASBUA,1.516,1583.54,CON(C(=O)[C@]12C[C@H](C1)N1N2C(=O)N(C1=O)c1ccc(cc1)N(=O)=O)C,19
FASCEL,1.378,1794.492,CCCCCC(=O)[C@]12C[C@H](C1)N1N2C(=O)N(C1=O)c1ccc(cc1)N(=O)=O,19
FASCUB,1.487,845.081,O=C1N(c2ccc(cc2)N(=O)=O)C(=O)N2N1[C@@]1(C[C@H]2C1)C(=O)c1ccccc1,4
FATMOG,1.495,1000.623,O=N(=O)c1ccc2nc3ccccc3nc2c1,14
FAVSUU,1.363,1210.195,CCOC(=O)C1(C[C@@H]([C@H]([C@@]21c1ccccc1N(C2=O)C)c1ccc(cc1)OC)N(=O)=O)C(=O)OCC,2
FAVTAB,1.373,973.52,N#CC1(C#N)[C@H](c2ccc(cc2)OC)[C@H](C[C@@]21c1ccccc1N(C2=O)C)N(=O)=O,2
FAVTEF,1.383,2028.188,N#CC1(C#N)[C@H](c2cccc3c2cccc3)[C@H](C[C@]21C(=O)N(c1c2cccc1)C)N(=O)=O,14
GAMWEA,1.54,2227.83,O=C1C=CN(C=C1)C1=CC=C(C2=NON=C12)N(=O)=O,61
GARDUC,1.449,899.119,CC1=NC=C(N1CCN=[N+]=[N-])N(=O)=O,14
GARFEO,1.497,1421.234,CC1=NC=C(N1CCOC(=O)c1ccc(cc1)N(=O)=O)N(=O)=O,14
GARNEW,1.486,1378.438,CC1=Nc2ccccc2C(=O)N1/N=C/c1ccc(cc1)N(=O)=O,19
GASMIA,1.76,743.933,O=N(=O)C1=NN(CC2=NOC=N2)N=N1,14
GATGUH,1.658,849.603,NC1=NC(=NO1)CN1N=NC(=N1)N(=O)=O,14
HAFRUF,1.804,928.379,O=N(=O)c1cnc(NC2=NN=NN2)c(c1)N(=O)=O,14
HAHMIQ,1.42,875.421,O=C1N(C)C(=C(C(=O)N1C)[C@H]([NH+]1CCCCC1)c1ccc(cc1)N(=O)=O)[O-],2
HANVIF,1.305,3965.039,Cc1ccc(cc1)N1CCN([C@@H]1c1ccc(cc1)N(=O)=O)Cc1ccccc1O,2
HAPQEY,1.463,668.212,CCC1(CC)NC(=O)c2cc(cc(c2N1)N(=O)=O)N(=O)=O,2
HARFAL,1.389,1101.309,Cc1ccc(cc1)C1=C(N2C=CC=CC2=C1C1=C(C(=NO1)C)N(=O)=O)c1ccc2ccccc2n1,2
HARFIT,1.753,955.26,O=N(=O)C1=C2N(CCN3N=NC(=C23)N(=O)=O)N=N1,2
HARFOZ,1.676,1054.708,O=N(=O)C1=C2N(CCCN3N=NC(=C23)N(=O)=O)N=N1,14
HARHAN,1.403,1128.128,COc1ccccc1C1=C(N2C=CC=CC2=C1C1=C(C(=NO1)C)N(=O)=O)c1ccc2ccccc2n1,2
HARREB,1.262,2155.436,N#C/C(=C\c1cc2-c3ccccc3C(c2cc1N(C)C)(C)C)/c1ccc(cc1)N(=O)=O,14
HATRIH,1.605,1639.846,Cc1ccc(c(O)c1N(=O)=O)N(=O)=O,14
IJITOM02,1.305,1727.506,N#CC1=C(N)OC2=C([C@@H]1c1cccc(c1)N(=O)=O)C(=O)CC(C2)(C)C,14
JAHZUR,1.308,1672.33,O=C(Nc1ccc(cc1)N(=O)=O)NC[C@]12C[C@H]3C[C@@H](C2)C[C@@H](C1)C3,14
JAJBAB,1.434,3533.573,O=C1C(=O)C(=C1NC[C@]12C[C@H]3C[C@@H](C2)C[C@@H](C1)C3)Nc1ccc(cc1)N(=O)=O,15
JALZIJ,1.348,4085.416,CCN(CC)c1ccc2C=C(C(=O)Oc2c1)c1ccc(cc1)c1ccc(cc1)N(=O)=O,15
JAMQAT,1.294,1364.835,O=N(=O)c1ccc2c(c1)nc(c(n2)c1ccc(cc1)/C=C/c1ccccc1)c1ccc(cc1)/C=C/c1ccccc1,2
JANQEY,1.836,394.42,NN1N=C(C(=C1N(=O)=O)N(=O)=O)N(=O)=O,4
JARPEB,1.884,695.035,NC1=N[N+](=NC2=C(C=NN12)N(=O)=O)[O-],14
