refcode,mlp_method,gaff_method,status,mlp_energy_kJ_mol,gaff_energy_kJ_mol,mlp_rmsd,gaff_rmsd,mlp_max_abs_stress_GPa,gaff_max_abs_stress_GPa,mlp_status,gaff_status
AANHOX,mace,gaff_mace,ok,-12210.265370558363,-12193.43338376279,0.06555862,0.21898551,0.0338371087829,0.0148612245744,match,match
AANHOX,maceoff,gaff_maceoff,ok,-14035.310505375,-14035.244207875,0.04201906,,0.0332920516979,0.0293182714028,match,error: StructureMatcher did not find a match
AANHOX,uma,gaff_uma,ok,-12194.29562493331,-12180.357908645437,0.01780098,,,0.0279934468032,match,error: StructureMatcher did not find a match
AANHOX01,mace,gaff_mace,ok,-12209.20000364239,-12197.527726770773,0.07199827,,0.0314520670033,0.0241487718394,match,error: StructureMatcher did not find a match
AANHOX01,maceoff,gaff_maceoff,ok,-14035.306192125,-14035.28289525,0.01571988,0.21271195,0.0178011469584,0.0145898817489,match,match
AANHOX01,uma,gaff_uma,ok,-12194.516660768537,-12183.404963676556,0.01335260,0.21211800,0.0302348697944,0.0297353748397,match,match
ABAFAO,mace,gaff_mace,ok,-55737.589589913994,-55740.26902299881,0.14538180,0.16907887,0.16446686469,0.0329598031558,match,match
ABAFAO,maceoff,gaff_maceoff,ok,-65349.5662945,-65349.55996025,0.00762051,0.05893480,,0.0328188010698,timeout_match,match
ABAFAO,uma,gaff_uma,ok,-55483.281583907294,-55474.96061650098,0.01425726,0.06139435,0.0126072897288,,match,timeout_match
ABAGIV,mace,gaff_mace,ok,-22024.024130060916,-22020.94827415816,0.11252998,0.16629767,0.150004340794,0.0315912350081,match,match
ABAGIV,maceoff,gaff_maceoff,ok,-24378.382841,-24378.390056,0.04166480,0.16010639,0.0291099776462,0.0263016723542,match,match
ABAGIV,uma,gaff_uma,ok,-21947.584783510218,-21946.903307609435,0.01318654,0.16941997,,0.0283242712833,match,match
ABAHIW,mace,gaff_mace,ok,-16018.209483740511,-16018.080531094127,0.13498917,0.13271613,0.141842690222,0.0257439965476,match,match
ABAHIW,maceoff,gaff_maceoff,ok,-20240.084216,-20240.0667345,0.00412828,,,0.0256740841693,timeout_match,error: StructureMatcher did not find a match
ABAHIW,uma,gaff_uma,ok,-15942.11878693744,-15941.186304445133,0.00837479,0.05473657,,,match,match
ABANAU,mace,gaff_mace,ok,-25559.879160410695,-25559.0656443329,,,0.0286417527386,0.0233352553365,error: StructureMatcher did not find a match,error: StructureMatcher did not find a match
ABANAU,maceoff,gaff_maceoff,ok,-42166.67105825,-42166.522901,0.02740601,0.13415159,0.0192641786568,0.0227166391307,match,match
ABANAU,uma,gaff_uma,ok,-25426.026820013354,-25414.894318271636,0.02860409,0.11616593,0.0224543778915,,match,match
ABAPIE,mace,gaff_mace,ok,-28352.730269075906,-28357.303143149224,0.08301158,0.06452201,0.15424911532,0.0525747723206,match,match
ABAPIE,maceoff,gaff_maceoff,ok,-30781.590313,-30781.5910165,0.04418684,0.05423993,0.0278714638455,0.0356040570735,match,match
ABAPIE,uma,gaff_uma,ok,-28298.379309608194,-28299.198228864592,0.02385521,0.04199680,0.165754285891,0.0343666844131,match,match
ABAQIG,mace,gaff_mace,ok,-23049.561949175535,-23048.91663115296,0.14256664,0.12574514,0.0110424569478,0.0308897528175,match,match
ABAQIG,maceoff,gaff_maceoff,ok,-29485.84079825,-29485.7996925,0.05163012,0.13600428,0.0348385852727,0.0226552018016,match,match
ABAQIG,uma,gaff_uma,ok,-22973.445683759448,-22969.429940115144,0.01694372,0.12012868,,0.0314628617272,match,match
ABATOO,mace,gaff_mace,missing_energy,,,,0.07956304,,0.0451979891014,missing_relaxed,match
ABATOO,maceoff,gaff_maceoff,ok,-17247.677057,-17247.66781425,0.02933705,0.06763402,0.0323282333602,0.0454338094482,match,match
ABATOO,uma,gaff_uma,ok,-17072.56226135242,-17070.01772605233,0.00956970,0.05706979,,0.0335740625787,match,match
ABATOP,mace,gaff_mace,ok,-36418.74999575105,-36416.304864464386,0.15278045,0.15683099,0.1432590326,0.0294832585849,match,match
ABATOP,maceoff,gaff_maceoff,ok,-43504.4242115,-43504.38937725,0.04293533,0.04866677,,0.0297944340329,timeout_match,match
ABATOP,uma,gaff_uma,ok,-36269.04670729383,-36255.68843366802,0.01230458,0.13544745,,0.00797370871704,match,match
ABATUU,mace,gaff_mace,missing_energy,,,,0.13499641,,0.0198676636251,missing_relaxed,match
ABATUU,maceoff,gaff_maceoff,ok,-18318.144926875,-18318.165654375,0.08063697,0.13383367,0.0376734063759,0.0173686147605,match,match
