ccdc_id,CHIRAL SMILES
AYUWUP,COc1ccccc1C(=O)O[C@]1(Cc2c(C1=O)cccc2)[C@H](c1ccccc1)CN(=O)=O
AZOSOA,O=N(=O)C1=NNC(=N1)CC1=NC(=NN1)N(=O)=O
BALWIY,COc1ccc(cc1)C1=C(COc2ccccc12)c1ccc(cc1)N(=O)=O
BALWIY01,COc1ccc(cc1)C1=C(COc2ccccc12)c1ccc(cc1)N(=O)=O
CANCAZ,CON1C(=O)c2ccc(cc2C[C@]1(C)CO)N(=O)=O
FAPHOX,C=C[C@@H]([C@@H]([C@H](/C=C/C1=C(C)C(=O)OC(O1)(C)C)C)OC(=O)c1cc(cc(c1)N(=O)=O)N(=O)=O)C
FASBUA,CON(C(=O)[C@]12C[C@H](C1)N1N2C(=O)N(C1=O)c1ccc(cc1)N(=O)=O)C
FASCEL,CCCCCC(=O)[C@]12C[C@H](C1)N1N2C(=O)N(C1=O)c1ccc(cc1)N(=O)=O
FASCUB,O=C1N(c2ccc(cc2)N(=O)=O)C(=O)N2N1[C@@]1(C[C@H]2C1)C(=O)c1ccccc1
FATMOG,O=N(=O)c1ccc2nc3ccccc3nc2c1
FAVSUU,CCOC(=O)C1(C[C@@H]([C@H]([C@@]21c1ccccc1N(C2=O)C)c1ccc(cc1)OC)N(=O)=O)C(=O)OCC
FAVTAB,N#CC1(C#N)[C@H](c2ccc(cc2)OC)[C@H](C[C@@]21c1ccccc1N(C2=O)C)N(=O)=O
FAVTEF,N#CC1(C#N)[C@H](c2cccc3c2cccc3)[C@H](C[C@]21C(=O)N(c1c2cccc1)C)N(=O)=O
GAMWEA,O=C1C=CN(C=C1)C1=CC=C(C2=NON=C12)N(=O)=O
GARDUC,CC1=NC=C(N1CCN=[N+]=[N-])N(=O)=O
GARFEO,CC1=NC=C(N1CCOC(=O)c1ccc(cc1)N(=O)=O)N(=O)=O
GARNEW,CC1=Nc2ccccc2C(=O)N1/N=C/c1ccc(cc1)N(=O)=O
GASMIA,O=N(=O)C1=NN(CC2=NOC=N2)N=N1
GATGUH,NC1=NC(=NO1)CN1N=NC(=N1)N(=O)=O
HAFRUF,O=N(=O)c1cnc(NC2=NN=NN2)c(c1)N(=O)=O
HAHMIQ,O=C1N(C)C(=C(C(=O)N1C)[C@H]([NH+]1CCCCC1)c1ccc(cc1)N(=O)=O)[O-]
HANVIF,Cc1ccc(cc1)N1CCN([C@@H]1c1ccc(cc1)N(=O)=O)Cc1ccccc1O
HAPQEY,CCC1(CC)NC(=O)c2cc(cc(c2N1)N(=O)=O)N(=O)=O
HARFAL,Cc1ccc(cc1)C1=C(N2C=CC=CC2=C1C1=C(C(=NO1)C)N(=O)=O)c1ccc2ccccc2n1
HARFIT,O=N(=O)C1=C2N(CCN3N=NC(=C23)N(=O)=O)N=N1
HARFOZ,O=N(=O)C1=C2N(CCCN3N=NC(=C23)N(=O)=O)N=N1
HARHAN,COc1ccccc1C1=C(N2C=CC=CC2=C1C1=C(C(=NO1)C)N(=O)=O)c1ccc2ccccc2n1
HARREB,N#C/C(=C\c1cc2-c3ccccc3C(c2cc1N(C)C)(C)C)/c1ccc(cc1)N(=O)=O
HATRIH,Cc1ccc(c(O)c1N(=O)=O)N(=O)=O
IJITOM02,N#CC1=C(N)OC2=C([C@@H]1c1cccc(c1)N(=O)=O)C(=O)CC(C2)(C)C
JAHZUR,O=C(Nc1ccc(cc1)N(=O)=O)NC[C@]12C[C@H]3C[C@@H](C2)C[C@@H](C1)C3
JAJBAB,O=C1C(=O)C(=C1NC[C@]12C[C@H]3C[C@@H](C2)C[C@@H](C1)C3)Nc1ccc(cc1)N(=O)=O
JALZIJ,CCN(CC)c1ccc2C=C(C(=O)Oc2c1)c1ccc(cc1)c1ccc(cc1)N(=O)=O
JAMQAT,O=N(=O)c1ccc2c(c1)nc(c(n2)c1ccc(cc1)/C=C/c1ccccc1)c1ccc(cc1)/C=C/c1ccccc1
